stars,comment
5.0 out of 5 stars,"









  
  
    
  I used this mouse for gaming on my xbox 1s. I love the mouse and the tracking is great. But the shape of the mouse might not be normal to you at first. But when you  get used to the shape its a really good mouse.

  
"
4.0 out of 5 stars,"









  
  
    
  New Razer DeathAdder Essential - I can adjust it by 100 - still little heavy 96g but can modify using Paracard, remove some plastic ""wink"" you know what I mean.On Sale for 29 bucks, its a bargain right now.My I have the old Razer DeathAdder 2000 - can only be adjusted from 250,  500, 750, 1000 - never can find the right sensitivity at games.

  
"
4.0 out of 5 stars,"









  
  
    
  Coming from a razery abysus which i loved, it took me a while to get use to the bigger size of this mouse.That being said - i am not pro at PC gaming so the change came with a grain of salt. Now that i have used it for a while, I can say it's a great and even better mouse. However dropping one star because the Razer Software is aids for windows.

  
"
5.0 out of 5 stars,"









  
  
    
  The white with the white LEDs are so amazing. It matches my keyboard. I'm going for a full white setup. You can't go wrong with Razer products. This gaming mouse is very smooth and feels just right. The mouse gets tons of use and it still works great. Best bang for the buck.

  
"
4.0 out of 5 stars,"









  
    
  Es mi mouse ideal y me funcionó perfecto el primer mes de uso, hasta ahora. La rueda de desplazamiento hace un ruido muy molesto al bajar, es decepcionante. (no me pasó con mi anterior lancead turnament)EDITADOLuego de aplicar fuerza y prácticamente golpear el mouse la rueda dejó de hacer el ruido, por lo que actualmente funciona correctamente.

  
  
"
1.0 out of 5 stars,"









  
  
    
  I very much respected the original Deathadder Chroma and it lasted me a few good years. However, this new version is crap compared to that.Pros- Comfortable mouse- Chroma colors- Side buttonsCons- The glue on the rubber side grip is terrible, it fell off after only a few months.- Sensitivity buttons are useless for serious gaming and despite disabling them in Synapse, they still mess with my sensitivity.- Cord feels flimsyI'm angry that I'll have to send this to Razer so they can evaluate if the defective gluing warrants replacement and leave myself without the ability to use my computer (which I need to work) for a while.

  
"
5.0 out of 5 stars,"









  
  
    
  Great mouse; highly recommended for a myriad of applications. Great customization and responsiveness is excellent for gaming. Great feel and control make this useful for all other applications where precision matters.The only negative is that the additional software required for this sometimes is annoying to deal with. However, this is meant to ensure long-term performance of the mouse itself, which is why I'm still giving this product a full 5 stars.

  
"
3.0 out of 5 stars,"









  
  
    
  It was excellent .. I had the old version of them for 4 years .. Then you buy this. There is no difficulty to access the buttons, which is relatively medium weight. I noticed a single defect in which after the use of nearly three months sound appears like the sound of the squeak when moving the Scroll wheel I do not know how I can fix it because it's annoying to me

  
"
4.0 out of 5 stars,"









  
  
    
  It's a good mouse, and not too expensive.  Definitely can tell the difference from the basic Logitec/Dell optic mice I've been using.  And it's pretty and fun to play with the color programming!

  
"
4.0 out of 5 stars,"









  
  
    
  I purchased this roughly 2 years ago, and really like it. It fits my hand very well, and has 4 extra buttons that you can reprogram.After 2 years of owning this (Very heavy usage), it started to occasionally double-click instead of just the single click that I wanted.

  
"
1.0 out of 5 stars,"









  
  
    
  Thumb pad has come unglued, and the mouse wheel squeaks after 6 months of use.  It doesn't do all that well on surfaces that aren't mouse pads either.  I mean, not terrible, but on my wood desk there were a few spot that it would derp, a problem I didn't have with my last mouse.  It's a similar design to the Lachesis, which I used back in the day and loved, but it's such a piece of junk in comparison.

  
"
5.0 out of 5 stars,"









  
  
    
  This mouse was my first introduction to gaming mice, and I honestly can never look back. This is an extremely reliable mouse that is definitely my favorite out of all the mice I've had. The shape of it is great for my smaller hand size, and I rarely ever hit the side mouse buttons by mistake. The DPI Change on the fly feature, while cool, is unnecessary for a casual gamer like me. I play mainly FPS games, along with RPG games so it's great to have a legitimately reliable mouse.TL;DR Great mouse, do not sleep on it. I've had this mouse for 2 years and at most the side grips are losing suction, so they slip occasionally.

  
"
5.0 out of 5 stars,"









  
  
    
  Great mouse! Wired version which works really well. No complaints

  
"
1.0 out of 5 stars,"









  
  
    
  Im already received the razer deathadder v2 pro with damaged skates and the another big problem the mouse disconnected the WiFi connection everytime !!And am already contact amazon to help but no any help for meSo its very bad experience razer

  
"
5.0 out of 5 stars,"









  
  
    
  It's such a cool looking mouse. I like the changing of the lights. There is a program that you can download for more features to mess around with. It fits nice in my hands, and the mouse response feels so smooth.

  
"
1.0 out of 5 stars,"









  
  
    
  I really liked this mouse at the beginning. I purchased it in april of 2019 and as of now (February 2020), it will not work. I have tried multiple computers as well as multiple usb ports and the mouse just does not work anymore. If you want a reliable mouse, do not purchase this one!

  
"
3.0 out of 5 stars,"









  
  
    
  The mouse performance is amazing. I moved from a naga epic to this and the sensor in it is great. The grip took a few days to get used to but after some use it is very comfortable.But even though the sensor and the functionality of the mouse is amazing it has an issue that after doing some research is not just common to my mouse. After having it plugged in for a couple of hours the middle mouse scroll wheel rgb light will turn off. The only way to get it to turn back on is by unplugging and re-plugging the mouse. This is an issue that will continueously happen and it is very annoying for a mouse that rgb is such a big part of.This issue is so annoying that I had to dock a couple stars . But if you just want a solid sensor and don't care about the rgb gamer swag, then I couldn't recommend this mouse more.

  
"
1.0 out of 5 stars,"









  
  
    
  The Razer mouse causes my i7 Widows 10 PC system to stall on every restart and boot up. Found out afterwards this is a common issue for Window users. I have tried for weeks to get tech help from Razer. Their suggestion was to un-install Synapse and unplug mouse before rebooting/restarting computer each time. Have not heard back from tech support for 2 weeks since last communication.  I can think of a lot of other ways to waste $70.  Back to Logitech.

  
"
1.0 out of 5 stars,"









  
  
    
  this is supposed to be a quality gaming mouse however, way too many missed clicks to be a viable gaming option. lightweight cheap feel also. would not recommend!

  
"
5.0 out of 5 stars,"









  
  
    
  This is a great mouse that offers a simple, sleek design as opposed to many gaming mice on the market. There isn't a huge difference between this model and the cheaper version, but the little differences are appreciated, like the grip on the scroll-wheel. I definitely recommend this mouse, but also recommend that you get a good warranty if you play a ton of games, as all gaming mice (especially Razer) tend to break-down eventually from heavy use, at-least in my experience.

  
"
3.0 out of 5 stars,"









  
  
    
  The shape of the grips are not good if your play style requires you to lift the mouse. The shape of the mouse is too perfect of an ellipse.  I have to position my ring finger in a claw position to secure it when lifting. If the sides chamfered inward, then it would feel more secure in your hand like the Logitech G903. If you play with high sensitivity then this shouldn't be an issue.

  
"
2.0 out of 5 stars,"









  
  
    
  If you have super big hands you might enjoy this mouse. However, for someone like myself who has normal sized hands the large dimensions of this mouse makes the shape feel super clunky and overall just uncomfortable. On top of that, the DeathAdder Elite's weight of 105 grams definitely makes it one of the heavier FPS mice which makes it feel ridiculously slow compared to other mice I have used in the past. That being said, I believe shape and weight to be the 2 most important aspects for an FPS mouse and for my personal tastes the DeathAdder Elite fails to check those two boxes.

  
"
5.0 out of 5 stars,"









  
  
    
  I like it. It feels better in hand than the elite. I can't say it's completely revolutionary, but it is a nice upgrade to an already epic mouse. The new feet are much smoother than the elite. Movement is more fluid.

  
"
1.0 out of 5 stars,"









  
  
    
  Less then a year after i purchased it, this mouse started to disconnect randomly. I use this pc once or twice a week, so it is not due to constant or aggressive use. Also, it never came of my table, fell or anything of this sort, and there is no physical damage. It just stops working occasionally. When it works it works fine and it is a solid and comfortable mouse, but after 20 years of pc use, i never ever had a mouse that lasted less then 3 years or so. 1 year is kinda disappointing.

  
"
5.0 out of 5 stars,"









  
  
    
  Context: 5'10 male that usually wears Med/Large glovesThis mouse is beautiful and fits perfectly in my hands. My only complaint is that the mouse only has one RGB lighting (but that's what you get for $30 I guess). Weight is perfect for me because it's light enough to control recoil easily and for everyday use e.g. web browsing.

  
"
4.0 out of 5 stars,"









  
  
    
  The mouse would be perfect unless it had one serious drawback.maybe its just me, but I cant really lift the mouse without trying really hard. the right side is slippery as F and tiny rubber handle does not really help.Otherwise mouse is just fine, just make sure you hold this mouse in your hand at least once before you buy it.

  
"
4.0 out of 5 stars,"









  
  
    
  I love the Razer DeathAdder's grip and size. I am upgrading from a DeathAdder 2013, and the additional side grips and full RGB customization is a great improvement. The sensor provides an insane amount of precision. The biggest downside of this mouse is the necessity to have the Razer drivers running in the background. This is no problem if you are using Windows or MacOS as Razer provides drivers for these operating systems. If you, like me, are running a Linux based OS, you are out of luck. There are some good open source alternatives, but they are not as good as Razer's driver. What this means is you get no customization of button macros or operations. I wanted to use the top button to switch profiles which is supported by Razer's drivers. The Linux alternative drivers do not provide this functionality.Additionally, the mouse does not have internal flash memory to save the settings when unplugged. This means you need drivers to restore the RGB color and macros you set before.

  
"
5.0 out of 5 stars,"









  
  
    
  Bought this for my son for his gaming.  It fits his hand and does everything he wants it to do.  This was an upgrade from a very cool looking, but much cheaper gaming mouse.  He says it is much faster and doesn’t glitch like the cheaper one.  So as long as he’s happy, I’m happy.

  
"
5.0 out of 5 stars,"









  
  
    
  It's super light, very quick an nimble, accurate, sweat proof, grip pads, ergonomically comfortable, and easy to clean. Literally the best mouse I've ever owned, and I've tried them all.

  
"
5.0 out of 5 stars,"









  
  
    
  Great gaming mouse. It's lighter and feels of a cheaper quality then some logitech's i had but overall no problems with it and it's been working pretty great.

  
"
5.0 out of 5 stars,"









  
  
    
  Good mouse with a nice rubberized feel on the sides and wheel and a good ergonomic form. Nice sound from the mechanical switches. It’s a little bit light. LEDs are customizable as are buttons. May have been the case at the time of some other reviews but you do not need to create an account with Razer to use the software.

  
"
5.0 out of 5 stars,"









  
  
    
  Great mouse and perfect tracking. I am not a gamer, but rely on accurate tracking. This is my 5th Razer mouse and can't imagine buying any other mouse.So comfortable and absolutely no issues.

  
"
2.0 out of 5 stars,"









  
  
    
  Like the mouse pad overall but cheap quality. The material where you thumb sits is coming off and i have no idea why. Less than 5 months old and I don't abuse it at all and take good care of all my products. I was told this mouse was a keeper and would last for years but it is already dying out on me and im pretty disappointed that the thumb material has peeled off. I might have to glue it back on my self and i know it wont be the same if i do that.

  
"
1.0 out of 5 stars,"









  
  
    
  Common and known issue develops where the left mouse button will double click with only a single actual click. Issue can only be temporarily resolved by blowing between the mouse button and the mouse housing. Ridiculous issue which should have been fixed by Razer, but apparently this has been a common problem for years now.

  
"
5.0 out of 5 stars,"









  
  
    
  I changed from a very basic gaming mouse to this one and I love it. It’s very affordable and the dpi is changeable. It’s very light and comfortable when gaming, and the white is very aesthetically pleasing.

  
"
1.0 out of 5 stars,"









  
  
    
  The mouse worked when it first arrived, but failed in less than a year with very little use.Sometimes the left button doesn't register, sometimes gets counted as two clicks.It's a pain to deal with Razer support.

  
"
5.0 out of 5 stars,"









  
  
    
  Great Gaming mouse really comfortable in the hand and just enough extra buttons to bind  microphone or freelook or anything like that..

  
"
1.0 out of 5 stars,"









  
  
    
  Cheap build qualityWay expensive for the poor product that they have made. Feels like a $5 mouse. Extremely light weight. The buttons have an uneasy feel to them. The kind the $3 mouse have. Yuck.Can't believe I paid $30 for this.

  
"
5.0 out of 5 stars,"









  
  
    
  I work in corporate accounting and this mouse has been a life saver for alleviating Carpal Tunnel symptoms.  The side button thumb keys keys on the side can be programmed to Ctrl-C & Ctrl-V (any accountant uses this function 1,000 times a day).Another plus is that your programming syncs with the cloud, and can be taken from one computer to the next with very little setup time.Thanks for this mouse.

  
"
5.0 out of 5 stars,"









  
  
    
  as good as the first one I bought when it first came out had to replace it with this one though as mine was a first wave gen and so I ended up having some issues after a small amount of time with the left mouse button not registering an actuated click or it would register one click as two weird right?

  
"
5.0 out of 5 stars,"









  
  
    
  Good quality. The real deal. Feels great after long term use and is fast/responsive. Love the white and the controllable lights. The program with it installed fast, no problems.

  
"
5.0 out of 5 stars,"









  
  
    
  I have used this mouse for years and year, side button finally gave out so i bought this as a replacement. I think this mouse is the standard by which i model every other mouse after.

  
"
3.0 out of 5 stars,"









  
  
    
  I've owned a handful of razor products over the years and this is by far the cheapest least impressive one I've had. The construction is very light weight, and yet still a bit cumbersome. Not particularly ergonomic.

  
"
5.0 out of 5 stars,"









  
  
    
  Great product, comes with smart tracking, and moves smoothly. Coming from the razer death adder, to the V2 was a huge game changer. definitely worth the price.

  
"
5.0 out of 5 stars,"









  
  
    
  This is the most comfortable computer mouse I ever used. It glides on my mousepad with no restriction and the ref lighting can be pretty cool or turned off if wanted.

  
"
5.0 out of 5 stars,"









  
  
    
  One of the best computer mouse on the market. Extremely ergonomic fit. Slides smoothly and is built to last

  
"
5.0 out of 5 stars,"









  
  
    
  The mouse is pretty smooth and simple, it's also great if you have medium to big sized hands, with two buttons on the sides makes it a great mouse.

  
"
1.0 out of 5 stars,"









  
  
    
  My right button stopped working and I am out of warranty and they told me go get someone to clean it pretty much, we can't help you. A true customer service rep would have provided customer service and tried to help me in any way that they could for me, the customer to be happy and with a working product.

  
"
1.0 out of 5 stars,"









  
  
    
  I had this product less than 1 year and it's begun to make a horribly annoying high-pitched squeaking noise when you use the scroll wheel. I had high hopes for this mouse, but it turned out to be much worse than cheaper models. I believe RAZER is well aware of these problems and that why they are selling so cheaply on amazon. I wrote to them directly to complain and they wanted me to a make a video to prove the squeaking noise. If you value your sanity, purchase anything but RAZER.

  
"
5.0 out of 5 stars,"









  
  
    
  My son absolutely LOVES THIS GAMER MOUSE! So much that his older brother ordered the same one the same day it arrived! Couldn't be more satisfied as it's user friendly, comfortable to use, glides with no imperfections and sets right up with no haggling... Once again a huge shout out to Razer as they've made another product for a teen in a mom of 4s budget!

  
"
5.0 out of 5 stars,"









  
  
    
  Functions like a mouse should. I've been using it for about a month now and I have no issues with it. The matte finish feels really nice and kind of soft in a way. I love the all white look to it.

  
"
4.0 out of 5 stars,"









  
  
    
  I've used the death adder for almost two years. Extremely comfortable in my hand. The customizable buttons work wonderfully. One issue I had almost right after I got the mouse was the rubber grip came off. I rebonding it myself and never had an issue. The mouse's performance made me forget about that side note.

  
"
5.0 out of 5 stars,"









  
  
    
  This mouse is amazing. It feels great in my hand and after some use becomes an extension of your body. It's nice and light and easy to move from target to target in game. The Synapse software is great and allows for a lot of customization. I highly recommend this mouse and you won't be disappointed. 5 stars!

  
"
1.0 out of 5 stars,"









  
  
    
  Its not the best for FPS games because I think its to big for quick movements. So instead I used it for me editing Pc and it worked wonderful. Until it died on day. My friend who has a Razor blade laptop tried to get it to work but no luck. The chances of that happening to you are slim so I still recommend this mouse.

  
"
2.0 out of 5 stars,"









  
  
    
  In order to use this mouse. I have unplug it and re plug it after the pc boots. It does not start up with or without the product software.

  
"
4.0 out of 5 stars,"









  
  
    
  I wouldn't use this for gaming, but it works well as a workstation mouse. Nicer than the OEM junk that HP ships with the computers.

  
"
5.0 out of 5 stars,"









  
  
    
  I upgraded from a regular Deathadder after 5 years, the scroll click stopped working. This elite version feels like an exact replica with just higher sens and two extra buttons on top which are v useful. Can't ask for more for $40.

  
"
4.0 out of 5 stars,"









  
  
    
  Love the feel and sleekness to it, also very smooth and has helped my aim a little bit too I have noticed compared to when I had my Corsair M65 Pro RGB!

  
"
5.0 out of 5 stars,"









  
  
    
  Quality materials used in this Razer mouse. Lasts a long time unless and always performs well. Will always be sure to have this mouse for all my gaming needs.

  
"
5.0 out of 5 stars,"









  
  
    
  So far so great. I bought this mouse to replace my Corsair Glaive which works fine until it starts to double click. So far this mouse has been more responsive and accurate enough to where I had to make my cursor speed lower even on the same dpi. I'd definitely recommend this item over Corsair mice.Only con: Not the most ergonomic shape, I definitely preferred that of the Glaive but I will get used to it, I am also quite a large human being so it might be a ""me"" problem but that is something to take into account if you're larger.

  
"
1.0 out of 5 stars,"









  
  
    
  I have bought their laptops, keyboards and finally I tried one of their mouses. Yep just like everything else garbage, scroll wheel broke in less than a week and its all plastic and feels terrible in hand. Bye razer!

  
"
4.0 out of 5 stars,"









  
  
    
  It's a bit narrower than I would've liked, for my hand. I find myself palming or picking it up slightly, without intending to, when I move it.

  
"
5.0 out of 5 stars,"









  
  
    
  it's ONLY white for the light but you can dim/brighten it as much as you want. it moves smoothly & of course all the buttons work & i love the extra 2 side buttons (super useful). also i had to ask a friend but it uses razor sysnapse for the settings.

  
"
5.0 out of 5 stars,"









  
  
    
  I don't game much on my computer, but this is a great mouse.  It fits my hand really well.

  
"
5.0 out of 5 stars,"









  
  
    
  This mouse is perfect for my needs. I play LoL and GTA with no problems. It has a quick response, with very adjustable color settings within the Razor synapse app. I love it.

  
"
3.0 out of 5 stars,"









  
  
    
  I was satisfied with my mouse purchase until I started to notice that the two mouse buttons on the sides were not responding. Maybe I just got a bad product but the buttons stopped working after 4 months. I expected it to last me a lot longer.

  
"
5.0 out of 5 stars,"









  
  
    
  My son likes it

  
"
5.0 out of 5 stars,"









  
  
    
  Razer delivers high quality products that serve for years.  My last Razer mouse lasted me 7+ years before having to replace it.

  
"
5.0 out of 5 stars,"









  
  
    
  Great product!

  
"
5.0 out of 5 stars,"









  
  
    
  Before I got this model I used my Deathadder 2013 edition till all it feet wore off. I use my computer pretty much everyday and its not uncommon for me to game for 10+hrs a day. So far this has been a great mouse love the feel and its very light to the touch but it feels well built.

  
"
5.0 out of 5 stars,"









  
  
    
  It's a little big for my hands. Weight and design is great otherwise. Very smooth, the software is useful, and the colors are great.

  
"
3.0 out of 5 stars,"









  
  
    
  Any pressure on the right side of the mouse delivers a creaking/croaking noise.  I assume this is due to a quality control issue between the shell and the base.  It's annoying and sounds cheap.  The mouse performs well otherwise aside form making noise with every major movement.

  
"
5.0 out of 5 stars,"









  
  
    
  No complaints

  
"
5.0 out of 5 stars,"









  
  
    
  The DeathAdder v2 has been amazing. It feels really solid and at the same time it’s easy to move around. The software is a little complex at first but after messing around for 30 minutes I knew what I was doing. I definitely think this mouse is worth the money invested. I’ve noticed significant changes while playing Apex Legends.

  
"
5.0 out of 5 stars,"









  
  
    
  Works great and I love the change on the fly DPI!

  
"
5.0 out of 5 stars,"









  
  
    
  Thus far the mouse has worked excellently and feels good to hold and use. Tracking is excellent and I never feel like I've lost position of my cursor.It really has been a great switch from the razer naga that I had used prior which had a few issues like losing tracking (several different naga all with the same issue)

  
"
3.0 out of 5 stars,"









  
  
    
  Been using Abyssus. compared to Abyssus it's too big causing finger and wrist pain.returning it.

  
"
5.0 out of 5 stars,"









  
  
    
  Best there is

  
"
5.0 out of 5 stars,"









  
  
    
  I have been buying Razer mouses for about 12 years. So far this is the best mouse I got from them. Simple, good looking, and does what you needed it to do.

  
"
4.0 out of 5 stars,"









  
    
  El mouse es excelente, la calidad es muy buena, un poco caro para lo que es pero vale la pena, lo malo y un poco grave depende de donde se mire es el hecho de que si levantas el mouse para moverlo a una posicion diferente el mouse seguira como moviendo el cursor solo eso

  
  
"
5.0 out of 5 stars,"









  
  
    
  Love this mouse. So comfortable. Buttons are durable. Material is quality

  
"
4.0 out of 5 stars,"









  
  
    
  I've been using it for half a year now, at first the color is nice but after a while, it fades and when using it too much it gets hot. Good quality for the price.

  
"
5.0 out of 5 stars,"









  
  
    
  recommend

  
"
1.0 out of 5 stars,"









  
  
    
  First of all, the mouse itself is fine. It's responsive, fits the hand well, the rubber grips are well placed, and the scroll wheel has a nice solid click to it.What's not ok is the software. It requires a mandatory login to even launch: this level of bloatware is not acceptable. I will not purchase another Razer product; I really wish I had read the reviews more closely.

  
"
4.0 out of 5 stars,"









  
  
    
  I'm moving from a Logitech to this and miss the additional buttons, but it works fine and the mapping software is easy to use.

  
"
3.0 out of 5 stars,"









  
  
    
  the razer drivers for this mouse made games i own not work. once i uninstalled the program that lets you customize the colors my games worked perfectly again. no issues with the seller or shipping.

  
"
1.0 out of 5 stars,"









  
  
    
  I will say the mouse feels comfortable to hold. However the  mouse lasted maybe 8 months before the left mouse click started to double click and now at times it doesn't register when I click the left mouse button. Dealing with customer service has been nothing but a pain. Don't buy this mouse or razer products

  
"
5.0 out of 5 stars,"









  
  
    
  Fast Shipping. quality product. I love the product. Thank you.

  
"
5.0 out of 5 stars,"









  
  
    
  Ordered for my son.  He is very happy with it

  
"
5.0 out of 5 stars,"









  
  
    
  One of the best mice for FPS gaming period

  
"
2.0 out of 5 stars,"









  
  
    
  This mouse feels like I'm trying to drag a brick across my desk. I loved razer mice until i tried their newest generation. its like they're trying to convert me to another company. Congratz you have. this one doesn't fit my hand and makes it damn hard to get any gaming done.

  
"
1.0 out of 5 stars,"









  
  
    
  I loved this mouse, but the right-click stopped working just 4 months after getting it (unluckily not covered under the 90 day warranty). I'd recommend going with another mouse if you're looking for something to last.

  
"
5.0 out of 5 stars,"









  
  
    
  i have been using this mouse for about a year now and its great. the patterns on the sides get dirty but they are pretty easy to clear out with a toothpick or booby pin. overall id recomend this thing any day

  
"
5.0 out of 5 stars,"









  
  
    
  I bought it for my son and he hasn’t complained lol

  
"
5.0 out of 5 stars,"









  
  
    
  Works so far

  
"
5.0 out of 5 stars,"









  
  
    
  Works Fantastic!!! I really like how you can customize the dpi to what your comfortable playing with. It fits my hand perfectly and it's still comfortable for me to use when playing all day. The first time I bought it new though it didn't come new at all. I got a broken, used one that didn't even work. But I contacted customer support and I was issued a refund and I bought it again and arrived just fine with a new one. Still works great since I bought it and would definitely recommend it to a friend.

  
"
5.0 out of 5 stars,"









  
  
    
  I've had a variety of mice over the years, mostly wireless.  I was a bit loathe to try out a corded mouse after the freedom of not having to deal with cords.  However, I was disappointed with my current, Logitech wireless gaming mouse.  The Razer DeathAdder Elite is the best mouse I have ever used.  I don't even mind the cord.  The weight seems perfect; not too heavy, but not too light.  The buttons, including the side buttons, are responsive and easy to find/activate but don't get activated by accident.  I also find being able to adjust the sensitivity on the fly to be a useful feature.  I didn't think that was going to be something I ever needed, but it's been useful.  I am very impressed with this mouse.

  
"
2.0 out of 5 stars,"









  
  
    
  Outdated mouse with horrible qcDon't get this, get the razer viper mini or g203

  
"
5.0 out of 5 stars,"









  
  
    
  Super ergonomic, really great if you are looking for a simple, straight-up gaming mouse.

  
"
5.0 out of 5 stars,"









  
  
    
  I can feel the difference from the first use! It is smooth and I like the software to choose any button function.

  
"
4.0 out of 5 stars,"









  
  
    
  Fantastic wonder. Did not like having to go to msi website and give personal info to set up mouse buttons.

  
"
2.0 out of 5 stars,"









  
  
    
  This is the second Razer mouse I've had where the wheel has started wearing out within a few years of use. The rest of the mouse works fine and is comfortable but having the scroll on the wheel jump all over is incredibly annoying to me.

  
"
3.0 out of 5 stars,"









  
  
    
  so i ordered 2 of these.  they look awesome but i cant adjust them :) why i have to use program i dont get it. which uses 200 ram. and i cant install it :)  hope someone will help me

  
"
5.0 out of 5 stars,"









  
  
    
  I’ve been using it on my Xbox and it’s horrible! I had a problem with it randomly drifting and moving random places I didn't move it to. I returned it and got the same product and again had the same problem. It sucks and wouldn’t recommend buying it.

  
"
5.0 out of 5 stars,"









  
  
    
  I loved it. Especially the taser synapse. The app comes with macros , The Nanoleaf LEDS ( If you play Fortnite if you went in the storm the lights turn purple! 💜 1000/10

  
"
5.0 out of 5 stars,"









  
  
    
  I bought this as a present for my boyfriend and he could immediately feel the improvement from his old Razer mouse. He is an avid gamer and I'm so pleased he likes it.  The customizable lighting is pretty cool too. Great deal overall.

  
"
1.0 out of 5 stars,"









  
  
    
  Typical cheap crap produced by Razer.  Mouse inaccurate.  Shoddy construction.

  
"
5.0 out of 5 stars,"









  
  
    
  My husband LOVES IT!!! It matches w his keyboard and the colors you can do are very nice.

  
"
1.0 out of 5 stars,"









  
  
    
  I bought this mouse as an upgrade from my last one and they lost the first one in transit then the replacement stopped working within a week. I’m confused because this is double the price of my old one but it didn’t even last me half as long.

  
"
5.0 out of 5 stars,"









  
  
    
  This is the perfect mouse for all games and has a long cable for connecting. It has two big side buttons that are so easy to press and also lights up. I would 100% recommend this mouse for and games and mostly Fortnite!

  
"
1.0 out of 5 stars,"









  
  
    
  Left button broke in half less than 1 year of having this mouse.  The point of contact for the button is half way down the actual button.  This means that a lot of the plastic button has nothing supporting it.  It broke exactly at the point of contact on the button.Would not buy again.

  
"
5.0 out of 5 stars,"









  
  
    
  Does the job! Wooo... 🤷‍♂️

  
"
5.0 out of 5 stars,"









  
  
    
  What can I say, it's a Razer Deathadder Elite. It feels great, works great, and you can definitely feel the quality in it. Overall, amazing product! Got it today and it is so worth the purchase!

  
"
5.0 out of 5 stars,"









  
  
    
  The Deathadder series continues to be the best mouse I've used for shooters. DPI control on this model is fantastic for switching between desktop/gaming (400 for shooters, 2400 for my multi-monitor layout).

  
"
5.0 out of 5 stars,"









  
  
    
  Grandson loves it

  
"
4.0 out of 5 stars,"









  
  
    
  First off if u like a smaller mouse don’t get this one. It is a very big mouse. I myself love this and it is a very good mouse. I also have the mm711 mouse but I use this one as my main one and it works great for Xbox

  
"
4.0 out of 5 stars,"









  
  
    
  First gaming mouse I have purchased. Definitely an upgrade from the default mouse that came with my pc. Feels very nice to handle. I just wish the two buttons on the side were a little further back so that I could hold it a little looser and not have to “fully grasp” the mouse to reach both buttons.

  
"
5.0 out of 5 stars,"









  
  
    
  Very responsive

  
"
5.0 out of 5 stars,"









  
  
    
  Ergonomically shaped, light, very responsive mouse. Glides smoothly over different surfaces. Sensitivity and other characteristics can be set after downloading an app which allows all kinds of customisation, including several LED colour settings. Definitely suitable for people with big hands, though not for left handers I think.

  
"
5.0 out of 5 stars,"









  
  
    
  durable, not too pricey, feels great. The synapse software isn’t the best for gaming mice but it has any feature you’ll really need. I’ve been using it for shooters and some 4x games on my cloth mousepad and have no complaints about either. Easy setup.

  
"
5.0 out of 5 stars,"









  
  
    
  For gaming

  
"
1.0 out of 5 stars,"









  
  
    
  I ordered this item used very good condition it came about as beat up as a mouse can get with both rubber hand grips ripped off

  
"
5.0 out of 5 stars,"









  
  
    
  Very good mouse.I bought this for my son about a year ago and he says its still holding up.

  
"
1.0 out of 5 stars,"









  
  
    
  This is my second Razer mouse for gaming. I bought the first one, DeathAdder Chroma  in 2015 and I was happy about it. It lasted little more than 3 years until the double click problem raised. So I bought this one last December but now the mouse dragging is being cancelled randomly. It is super annoying in RTS gaming when selecting right units is critical.

  
"
5.0 out of 5 stars,"









  
  
    
  I myself have big hands, and while its not much bigger than my Corsair Harpoon, it feels much better in my hand. Besides that it has nice RGB lighting along with macro keys which are nice.

  
"
4.0 out of 5 stars,"









  
  
    
  Surprisingly comfortable, feels clearly high quality and acts like it.Scroll wheel texture of the Elite is an understated change but really feels good to use.Unfortunately, the driver software for Windows, Synapse, _requires_ you to actually create an account with Razer to use. Which I find to be a disgusting way to force the giving of personal information for a product I purchased.

  
"
5.0 out of 5 stars,"









  
  
    
  Its a gaming mouse, does all it needs to do, especially the dpi change buttons are handy when gaming CSGO vs LoL.

  
"
5.0 out of 5 stars,"









  
  
    
  👍

  
"
5.0 out of 5 stars,"









  
  
    
  Great mouse, not much else to say

  
"
5.0 out of 5 stars,"









  
  
    
  I've had 4 razer deathadders in the past. Never had this one till now. It feels surprisingly durable and very comfortable compared to the older models. I wouldn't hesitate to get this one.

  
"
5.0 out of 5 stars,"









  
  
    
  Great Mouse, has a really good hand feel. The size of the two side buttons make them really assailable and more convenient to use compared to previous mice that I have used in the past.

  
"
5.0 out of 5 stars,"









  
  
    
  As expected - a very good gaming mouse for an excellent price. I recommend!

  
"
1.0 out of 5 stars,"









  
  
    
  This is my 2nd mouse the first one double clicked had a long run with it nee one broke after a year the wheel wouldn’t scroll anymore.

  
"
5.0 out of 5 stars,"









  
  
    
  It is one of the best mouses I have had

  
"
5.0 out of 5 stars,"









  
  
    
  great mouse for the price. always good stuff from them

  
"
5.0 out of 5 stars,"









  
  
    
  Just a great mouse. It's just what you need. Nothing fancy and not too simple. Quality is great. I don't know about you guys but you never really go all the way to the 16000 DPI if you feel like you need it though just get it if not just get the essential version.

  
"
5.0 out of 5 stars,"









  
  
    
  Bought this mouse for gaming, and ended up really liking the product. My hand fits comfortably, although the mouse is slightly bigger. Very nice mouse for the price, would recommend.

  
"
5.0 out of 5 stars,"









  
  
    
  Love this mouse! And the light show is way cool.

  
"
5.0 out of 5 stars,"









  
  
    
  Works great for me

  
"
5.0 out of 5 stars,"









  
  
    
  Have been using Razer black and death adders for over 10 years. They are comfortable in the hand and configurable.

  
"
